Sports,States,Cat_Dog,Pets,Gender,Browser,Shoes,Height,MO_Height,FA_Height,Arrival,Sleep,Number,Hand,Credit
NFL,3,Dog,0,Female,Chrome,9,61,59,70,12,5.5,8,Right,14.5
NBA,2,Dog,1,Male,Safari,5,63,54,58,3,6,7,Right,15
NFL,10,Dog,1,Female,Chrome,6,66,67,71,6,8,4,Right,15
Other,15,Dog,3,Female,Safari,7,63,65,71,10,6.5,8,Right,16
Other,17,Dog,2,Female,Safari,10,62,65,67,10,9.5,5,Right,16
NFL,12,Dog,1,Female,Chrome,15,64,65,71,10,8,5,Right,16
NFL,13,Dog,1,Male,Chrome,8,64,63,69,10,8,3,Right,16
NBA,5,Dog,1,Female,Chrome,20,66,62,71,7,8,2,Right,15
NBA,12,Dog,1,Female,Chrome,20,63,61,70,15,8,4,Right,16
NFL,15,Dog,0,Female,Chrome,7,63,64,71,15,5,7,Right,17
Other,2,Cat,0,Female,Chrome,NA,NA,NA,NA,60,6,7,Right,16
NBA,8,Cat,0,Male,Chrome,5,69,67,68,7,8,5,Right,14
NBA,13,Dog,1,Female,Chrome,71,63,65,74,15,8,4,Right,15
NFL,27,Dog,1,Male,Chrome,18,73,66,68,6,9,4,Right,16
MLB,1,Dog,1,Female,Edge,5,60,63,65,15,8,7,Right,16
NHL,16,Dog,0,Male,Chrome,10,72,63,70,10,6.5,7,Ambidextrous,15.5
